Year,January,February,March,April,May,June,July,August,September,October,November,December
1975,-2.6,1.9,5.1,6.8,12.4,18.2,26,23,18.6,11.9,2.9,0.5
1976,-2.3,1.1,3.3,9.6,12.4,19.8,25.9,22.4,19.1,10.6,5.4,-1.4
1977,-2.9,2.1,3.2,12.3,12.8,19.8,25.2,23.9,19.1,13.1,5.8,3.3
1978,2.4,4.3,8.9,10,13.3,20.7,25.2,23.3,17.8,13.1,5.8,-2.9
1979,-5.5,0.3,6.2,10.6,15.8,21.1,26.1,24.2,21.9,13.7,2.5,0.5
1980,0.9,2.2,5.3,11.5,13.9,19.7,25.3,23.4,19.1,11.4,5.2,0.9
1981,0.1,3.5,6.7,11.9,14.2,19.7,25.3,23.4,20.3,10.3,6.8,2.4
1982,-1.2,1.7,6.4,8.1,13.7,20,24.2,25.8,17.8,9.3,3.3,-1.5
1983,1.8,4.1,7,7.7,13.2,19.8,24.8,25.5,19.9,13.3,6.1,-0.6
1984,-4.6,-3.4,4.5,8.5,16.7,19.6,25.8,25.1,19.2,9.7,5.9,-1.2
1985,-4.3,-3.6,4.9,13.2,17.7,22.5,27.1,24.7,17.1,11.7,3,-2.4
1986,-1.6,5.2,8.7,9.3,14,23.3,23.4,25.6,15.6,10.6,5,-1.1
1987,-3.3,2.2,6.1,13.3,17.1,22,24.2,23.7,19.2,13.6,5,-1.6
1988,-3.9,1.5,5.3,11.1,15.3,24.3,27.2,24.7,17.8,15.6,5.1,-2.2
1989,-5.4,-3.7,7.7,12.6,15.5,20.7,27.3,24,19.1,11.9,4.7,-0.3
1990,0.8,0.4,7.2,12.7,14.4,22.2,26.1,24.6,22.2,12.2,5.2,-6.1
1991,-4.2,2.5,6,8.8,13.1,20.2,26.2,25.8,18,12,4.4,-1.1
1992,-3.6,4.1,9.6,13.9,18.7,21.3,24.1,25.2,19.2,13.3,1.2,-2.7
1993,-3.9,-1.4,7.5,9.2,17.4,17.6,21.1,22.5,18.6,11.4,1.6,-0.3
1994,2.7,1.8,7.6,11.2,17.2,23.5,27.1,27.1,21.4,10.7,0.3,-0.2
1995,1.6,5.7,6.7,9.2,13.1,17.9,24.4,25.6,19.7,10.8,7.8,2.8
1996,0.6,-0.7,7.4,10.3,15.5,23,26.9,25.4,18.2,12.3,6.3,2.8
1997,0.2,1.8,7.8,9.1,17.4,21.2,23.9,25.9,19.9,11.6,5.7,-2.3
1998,3.3,3.1,4.8,9,14.9,17,26.6,25.4,20,10.5,6,-1.4
1999,1.9,2.9,6.9,7.4,13.4,20.3,25.8,25.2,17.5,12.6,7.7,-0.5
2000,1.7,4.4,5.6,12.6,16.7,22.4,27.3,26.1,18.2,11.4,-0.2,-0.7
2001,-2.6,1.5,7.5,10.2,17.6,21.8,26.4,26.2,21.3,12.9,5.9,-3
2002,-3.2,-2.3,3.9,11,15.6,22.2,27.7,24.2,18.9,9.9,3.2,2
2003,3.5,1.6,7,10.4,16.4,21.8,28.6,26.7,18.9,14.4,2.9,0.9
2004,-5.4,-2.7,8.8,11.4,15.8,21.3,26.1,23.5,18.6,12.2,3.9,0.4
2005,1.4,1.6,6,10.4,15.2,19.3,27.2,25,18.7,12.6,5.3,-0.2
2006,1.3,0.8,5.3,11.8,17.3,22.9,28.4,24.8,17.5,10.3,5,-0.7
2007,-6.1,2.7,8,11.5,17.5,23,28.9,27.1,19.3,11.1,5.5,-2.7
2008,-4.5,0.7,4.6,8.1,14.3,21.1,27.5,25.5,19.2,11.8,6.1,-1
2009,-0.7,2.3,5.6,9.4,16.4,19.2,26.2,24.2,21.4,9.6,5.1,-4.6
2010,-1.6,2,6,9.3,11.5,20.3,26.1,24.5,20.4,13.7,3.5,0.9
2011,-2.4,1.3,6.3,7.4,11.7,19,25.8,26.1,21.1,12.6,4.1,-1.4
2012,0.7,3,9.4,12.3,16.4,23.1,27.9,27.6,21.1,12.9,7.5,1.6
2013,-6.9,-1.8,7,9.7,17,24.1,29,28.2,21.3,11.3,6.9,-4.1
2014,-0.8,5.6,9.5,11.1,16.5,20.8,27.4,23.5,21.1,14,5.2,3
2015,1.3,6.6,9.8,11.3,15.5,25.3,25.2,25.3,21.6,15.9,4.3,-0.3
2016,-0.8,2.9,8.4,12.9,16.5,25.3,28.4,26.8,19.6,14.6,8.4,-1.3
2017,-2.6,4.5,10.1,10.2,16.9,24.4,29.6,27.4,19.4,11.4,8.8,0.6
