Year,January,February,March,April,May,June,July,August,September,October,November,December
1985,13.9,13.9,14.9,17.6,18.2,20.6,23.9,22.4,21,19.9,15.6,14.4
1986,16.1,14.9,15.9,17.1,18.1,19.4,20.9,22.2,19.4,18.9,17.2,14.4
1987,13.3,14.4,15,17.8,18.2,18.8,19.5,21.1,21.1,20.8,16.7,12.2
1988,13.7,15.5,16.4,16.9,17.7,18.3,21.3,21.7,21.1,19.3,15.6,13.3
1989,12.6,13.7,15.4,18.7,17.6,18.9,21.2,21.7,21.3,19.1,17.3,14.8
1990,13.7,12.9,14.8,17.3,17.9,20.6,22.4,22,22.1,20.3,17.1,13.1
1991,14.1,15.2,13.6,16.5,16.7,17.8,19.7,20.5,20.8,20,16.8,14.1
1992,14.1,16.2,15.8,19.4,20,20.1,22.1,23.8,22.4,20.1,17,12.9
1993,13.8,14.4,16.3,17.7,18.9,20.3,21,21.2,20.6,19.6,16.4,13.9
1994,14.4,13.6,15.8,16.1,16.7,20.1,20.8,23.3,22.5,19.3,13.6,13.2
1995,13.8,16.3,15.8,16.4,16.7,18.2,20.6,22.2,21.9,19.5,17.3,14.6
1996,14.2,16.3,15.6,18.1,19.3,19.9,21.1,22.7,21.4,18,16.5,14.4
1997,14.4,14.4,16.4,16.9,20.3,19.6,20.6,22.5,24.1,20.4,17.9,14.3
1998,14.6,14.2,15.2,15.4,17.1,18.7,20.4,22.6,21.2,18.5,15.1,12.7
1999,13.9,14,14.5,14.8,15.8,17.1,20.3,20.1,19.3,20.5,15.9,14.3
2000,14.7,15,14.5,16.9,18.1,20.1,20.6,22.3,21.3,18.5,14.6,14.5
2001,12.6,12.7,14.9,14.8,17.6,19.8,20.6,20.9,20.2,19,16.3,13
2002,13.2,14.1,14.3,15.3,16.6,18.2,19.9,20.5,21.1,17.8,17.5,13.8
2003,16.5,15,15.7,15.5,16.9,17.9,21.2,22.6,21,19.8,16,13.9
2004,13.9,13.7,17.1,18,20.3,19.9,22.3,21.6,22.6,18.6,15.6,14.4
2005,14.9,15.5,16.1,16.6,18.6,19.1,21.1,21.7,20.3,18.8,17.1,14.7
2006,14,14.6,14,16.6,18.2,21.6,24.6,22.9,21.2,18.8,17.6,13.5
2007,12.5,14.2,15.6,15.5,17.2,18.6,21,22.9,20.9,19.3,16.3,12.4
2008,12.4,13.2,14.8,16.7,17.5,19.5,20.9,22.4,21.7,20.6,18.1,13.7
2009,15.6,14.4,15.3,17,17.9,19,21.5,22.4,22.3,18.7,16.3,13.7
2010,14.6,14.6,15.7,15.6,16.7,17.7,18.8,20,20.5,20,16.8,14.9
2011,15.6,14.2,16.1,17.6,18.2,18.6,21.1,20.6,20.7,18.7,15.7,13.1
2012,14.5,14.4,14.5,16.2,17.6,18.4,20.4,23.2,23.8,20.6,16.8,14.1
2013,13.2,13.5,15.6,16.6,18.8,19.2,21.3,21.5,21.9,18.9,17.7,15.2
2014,16.3,16.2,17.8,18.5,20.8,20.2,23.1,23.2,24.2,22.1,18.7,15.9
2015,16,17.3,19.2,18.8,17.7,20.5,22.5,24,25.1,23.5,17.4,14.5
2016,14.7,17.7,17,18.6,18.3,20.5,21.6,22.7,22.2,21.4,18.8,15
2017,14.4,15.3,17.1,18.5,18.3,19.8,22.8,22.8,22.7,21.7,18.4,15.7
