,year,month,mean
567,1998,12,-0.7
568,1999,01,1.7
569,1999,02,2.5
570,1999,03,6.4
571,1999,04,8.4
572,1999,05,13.2
573,1999,06,19.1
574,1999,07,23.3
575,1999,08,24.0
576,1999,09,17.8
577,1999,10,12.5
578,1999,11,8.3
579,1999,12,0.0
580,2000,01,1.3
581,2000,02,5.4
582,2000,03,6.3
583,2000,04,12.5
584,2000,05,15.4
585,2000,06,20.4
586,2000,07,24.5
587,2000,08,24.5
588,2000,09,17.2
589,2000,10,11.3
590,2000,11,0.3
591,2000,12,-0.4
592,2001,01,-2.6
593,2001,02,1.0
594,2001,03,7.7
595,2001,04,9.1
596,2001,05,16.5
597,2001,06,19.7
598,2001,07,23.6
599,2001,08,26.0
600,2001,09,20.2
601,2001,10,12.0
602,2001,11,6.7
603,2001,12,-0.7
604,2002,01,-0.2
605,2002,02,1.2
606,2002,03,4.9
607,2002,04,10.3
608,2002,05,15.2
609,2002,06,20.9
610,2002,07,26.5
611,2002,08,21.6
612,2002,09,18.4
613,2002,10,9.7
614,2002,11,4.8
615,2002,12,3.0
616,2003,01,3.7
617,2003,02,2.7
618,2003,03,8.1
619,2003,04,9.6
620,2003,05,14.9
621,2003,06,20.9
622,2003,07,27.0
623,2003,08,25.2
624,2003,09,19.4
625,2003,10,14.6
626,2003,11,3.2
627,2003,12,3.0
628,2004,01,-2.0
629,2004,02,1.7
630,2004,03,9.0
631,2004,04,12.2
632,2004,05,14.9
633,2004,06,20.8
634,2004,07,25.5
635,2004,08,23.9
636,2004,09,17.6
637,2004,10,12.0
638,2004,11,3.6
639,2004,12,1.9
640,2005,01,0.4
641,2005,02,2.8
642,2005,03,7.7
643,2005,04,10.3
644,2005,05,15.2
645,2005,06,18.0
646,2005,07,25.8
647,2005,08,24.9
648,2005,09,17.4
649,2005,10,12.1
650,2005,11,3.1
651,2005,12,-1.4
652,2006,01,2.5
653,2006,02,1.6
654,2006,03,5.8
655,2006,04,11.0
656,2006,05,16.1
657,2006,06,21.7
658,2006,07,27.5
659,2006,08,23.4
660,2006,09,18.6
661,2006,10,10.8
662,2006,11,6.3
663,2006,12,-0.2
664,2007,01,-1.5
665,2007,02,3.9
666,2007,03,9.1
667,2007,04,11.0
668,2007,05,17.0
669,2007,06,21.4
670,2007,07,28.4
671,2007,08,24.2
672,2007,09,18.2
673,2007,10,11.2
674,2007,11,5.0
675,2007,12,0.3
676,2008,01,-1.8
677,2008,02,2.3
678,2008,03,4.8
679,2008,04,8.2
680,2008,05,15.8
681,2008,06,19.5
682,2008,07,25.4
683,2008,08,24.4
684,2008,09,18.9
685,2008,10,12.0
686,2008,11,6.5
687,2008,12,-0.2
688,2009,01,-0.4
689,2009,02,2.7
690,2009,03,5.4
691,2009,04,10.5
692,2009,05,16.5
693,2009,06,19.9
694,2009,07,25.9
695,2009,08,24.0
696,2009,09,21.5
697,2009,10,9.2
698,2009,11,5.3
699,2009,12,-3.0
700,2010,01,3.0
701,2010,02,4.6
702,2010,03,7.1
703,2010,04,9.4
